codigo,alvo,evento,particao,h,motor,ajuste,n,mae_cm,vies_cm,max_erro_cm,regime
86510000,Muçum,ev20230908,desenvolvimento,6,gbm_postos,original,253,15.702440814428462,-1.4927962559202577,126.38857817331211,todos
86510000,Muçum,ev20230908,desenvolvimento,6,ridge_montante,integral_12h,253,15.533504361196655,-1.22213593837586,118.64242021763846,todos
86510000,Muçum,ev20230908,desenvolvimento,6,ridge_montante,integral_6h,253,17.094322743619866,-0.9617620493111523,144.84639573694665,todos
86510000,Muçum,ev20230908,desenvolvimento,6,ridge_montante,meio_12h,253,16.329969075194395,-7.331290104747442,113.69131608849898,todos
86510000,Muçum,ev20230908,desenvolvimento,6,ridge_montante,meio_6h,253,17.122399470753024,-7.201103160215086,113.81178486999823,todos
86510000,Muçum,ev20230908,desenvolvimento,6,ridge_montante,original,253,19.017515180242064,-13.440444271119024,119.49835572167518,todos
86510000,Muçum,ev20230908,desenvolvimento,9,gbm_delta,integral_12h,253,23.447600266071575,0.6963675773664671,191.2301382787473,todos
86510000,Muçum,ev20230908,desenvolvimento,9,gbm_delta,integral_6h,253,25.445187985202676,0.5007533092600214,200.8967264749832,todos
86510000,Muçum,ev20230908,desenvolvimento,9,gbm_delta,meio_12h,253,20.128830156709622,-1.3111257713254336,184.55669257721183,todos
86510000,Muçum,ev20230908,desenvolvimento,9,gbm_delta,meio_6h,253,20.977722897287343,-1.4089329053786597,189.38998667532974,todos
86510000,Muçum,ev20230908,desenvolvimento,9,gbm_delta,original,253,19.435933760937807,-3.3186191200173396,177.88324687567626,todos
86510000,Muçum,ev20230908,desenvolvimento,9,gbm_postos,integral_12h,253,27.418854744171103,0.8055345064867443,145.08029890504827,todos
86510000,Muçum,ev20230908,desenvolvimento,9,gbm_postos,integral_6h,253,27.472078248871306,0.5563468831681379,154.5504736742255,todos
